,Brand,Car Model,Year,Driven_Km,Fuel,Transmission,Price,Location,OwnerType
0,Hyundai,Hyundai NEW SANTRO SPORTZ EXECUTIVE MT CNG,2022,0,CNGMan,Manual,372000,delhi-ncr,1
1,MG,MG HECTOR SMART,2019,0,Diesel,Manual,783000,delhi-ncr,1
2,Mahindra,Mahindra Scorpio S,2018,0,Diesel,Manual,693000,delhi-ncr,1
3,MG,MG HECTOR SHARP,2022,0,Diesel,Manual,1095000,delhi-ncr,1
4,KIA,KIA SELTOS HTX,2020,0,Petrol,Manual,950000,delhi-ncr,1
5,Datsun,Datsun Go REMIX EDITION,2018,0,Petrol,Manual,150000,delhi-ncr,1
6,Tata,Tata ALTROZ XE PETROL,2022,0,Petrol,Manual,380000,delhi-ncr,1
7,Hyundai,Hyundai Creta S,2023,0,Petrol,Manual,1190000,delhi-ncr,1
8,Maruti,Maruti Alto K,2018,0,Petrol,Manual,189000,delhi-ncr,1
9,Tata,Tata PUNCH PURE MT,2022,0,CNGMan,Manual,399000,delhi-ncr,1
10,Maruti,Maruti Swift VXI AMT,2018,0,Petrol,Auto,386000,delhi-ncr,1
11,Datsun,Datsun Redi Go T,2020,0,Petrol,Manual,172000,delhi-ncr,1
12,Tata,Tata ALTROZ XZ PETROL,2020,0,Petrol,Manual,420000,delhi-ncr,1
13,MG,MG HECTOR PLUS SAVVY PRO,2024,0,Petrol,Auto,1750000,delhi-ncr,1
14,Jeep,Jeep Compass LONGITUDE,2019,0,Petrol,Auto,880000,delhi-ncr,1
15,Maruti,Maruti Swift VXi,2024,0,Petrol,Manual,515000,delhi-ncr,1
16,Volkswagen,Volkswagen VIRTUS COMFORTLINE TSI,2022,0,Petrol,Manual,691000,delhi-ncr,1
17,Maruti,Maruti JIMNY ZETA ALL GRIP PRO,2023,0,CNGMan,Manual,893000,delhi-ncr,1
18,Maruti,Maruti IGNIS DELTA,2018,0,Petrol,Manual,276000,delhi-ncr,1
19,Maruti,Maruti XL,2021,0,Petrol,Auto,767000,delhi-ncr,1
20,Jeep,Jeep Compass LIMITED PLUS PETROL AT,2018,0,Petrol,Auto,1090000,mumbai,1
21,Mahindra,Mahindra Kuv,2016,0,Petrol,Manual,243000,mumbai,1
22,Maruti,Maruti Swift VDI,2013,0,Diesel,Manual,356000,mumbai,1
23,BMW,BMW X,2021,0,Petrol,Auto,2690000,mumbai,1
24,Hyundai,Hyundai Xcent SX AT,2015,0,Petrol,Auto,351000,mumbai,1
25,Maruti,Maruti Ciaz VXI,2015,0,Petrol,Manual,318000,mumbai,1
26,Honda,Honda Amaze,2018,0,CNGMan,Manual,407000,mumbai,1
27,Skoda,Skoda Rapid AMBITION,2015,0,Petrol,Manual,286000,mumbai,1
28,Tata,Tata TIGOR XZA PETROL,2018,0,CNGAut,Auto,398000,mumbai,1
29,Renault,Renault Kwid RXT,2023,0,Petrol,Auto,376000,mumbai,1
30,Toyota,Toyota Glanza V CVT,2020,0,Petrol,Auto,509000,mumbai,1
31,Hyundai,Hyundai ALCAZAR PLATINUM,2022,0,Diesel,Auto,1360000,mumbai,1
32,Maruti,Maruti Swift VXI,2014,0,Petrol,Manual,249000,mumbai,1
33,MG,MG HECTOR PLUS SHARP PRO,2023,0,Petrol,Auto,1825000,mumbai,1
34,Hyundai,Hyundai VENUE SX,2021,0,Petrol,Manual,710000,mumbai,1
35,Honda,Honda City,2016,0,Petrol,Manual,395000,mumbai,1
36,Tata,Tata Curvv Creative Plus S,2024,0,Petrol,Manual,1235000,mumbai,1
37,Hyundai,Hyundai Elite i,2017,0,Petrol,Manual,400000,mumbai,1
38,Honda,Honda City,2015,0,Petrol,Auto,428000,mumbai,1
39,Audi,Audi A,2022,0,Petrol,Auto,2975000,mumbai,1
40,Maruti,Maruti Wagon R,2018,0,Petrol,Manual,362000,hyderabad,1
41,Maruti,Maruti Swift VXI,2014,0,Petrol,Manual,229999,hyderabad,1
42,Hyundai,Hyundai Xcent S,2014,0,Petrol,Manual,289000,hyderabad,1
43,Maruti,Maruti Zen Estilo VXI,2012,0,Petrol,Manual,191000,hyderabad,1
44,Datsun,Datsun Redi Go T,2016,0,Petrol,Manual,179000,hyderabad,1
45,Honda,Honda Amaze,2016,0,Petrol,Manual,418000,hyderabad,1
46,Renault,Renault Kwid CLIMBER,2022,0,Petrol,Auto,433000,hyderabad,1
47,Maruti,Maruti New Wagon,2021,0,Petrol,Manual,434999,hyderabad,1
48,Maruti,Maruti Swift VDI,2014,0,Diesel,Manual,331000,hyderabad,1
49,Hyundai,Hyundai Elite i,2015,0,Petrol,Manual,434999,hyderabad,1
50,Tata,Tata ALTROZ XZ DIESEL,2021,0,Diesel,Manual,578000,hyderabad,1
51,Volkswagen,Volkswagen TAIGUN,2021,0,Petrol,Manual,973000,hyderabad,1
52,MG,MG HECTOR PLUS SHARP,2020,0,Petrol,Auto,1160000,hyderabad,1
53,Volkswagen,Volkswagen Ameo HIGHLINE,2016,0,Petrol,Manual,404000,hyderabad,1
54,Renault,Renault TRIBER RXZ AMT,2021,0,Petrol,Auto,484999,hyderabad,1
55,Maruti,Maruti Ciaz DELTA,2018,0,Petrol,Manual,459000,hyderabad,1
56,Mahindra,Mahindra XUV,2018,0,Diesel,Manual,645000,hyderabad,1
57,Maruti,Maruti Wagon R,2015,0,Petrol,Manual,273000,hyderabad,1
58,Hyundai,Hyundai Creta SX,2019,0,Petrol,Manual,800000,hyderabad,1
59,Maruti,Maruti Swift VDI,2017,0,Diesel,Manual,415000,hyderabad,1
60,Maruti,Maruti Alto K,2013,0,Petrol,Manual,204000,chennai,1
61,Renault,Renault Kwid RXT,2016,0,Petrol,Manual,250000,chennai,1
62,Maruti,Maruti Alto,2012,0,Petrol,Manual,178000,chennai,1
63,Maruti,Maruti Swift LXI,2015,0,Petrol,Manual,337000,chennai,1
64,Maruti,Maruti Swift Dzire VXI,2014,0,Petrol,Manual,411000,chennai,1
65,Tata,Tata Tiago XT PETROL,2017,0,Petrol,Manual,351000,chennai,1
